dataset,column,dtype,rows,null_count,null_pct,unique_count,unique_pct
calls,call_status,object,91350,0,0.0,5,0.01
calls,duration_sec,int64,91350,0,0.0,900,0.99
calls,timezone,object,91350,0,0.0,3,0.0
campaigns,campaign_id,object,120,0,0.0,120,100.0
campaigns,campaign_name,object,120,0,0.0,5,4.17
campaigns,channel,object,120,0,0.0,5,4.17
campaigns,strategy_version,object,120,0,0.0,4,3.33
campaigns,start_at,object,120,0,0.0,120,100.0
campaigns,target_definition,object,120,0,0.0,5,4.17
campaigns,end_at,object,120,0,0.0,120,100.0
complaints,complaint_id,object,8000,0,0.0,8000,100.0
complaints,account_id,object,8000,0,0.0,7034,87.92
complaints,borrower_id,object,8000,0,0.0,5839,72.99
complaints,event_at,object,8000,0,0.0,7997,99.96
complaints,complaint_type,object,8000,0,0.0,7,0.09
complaints,severity,object,8000,0,0.0,4,0.05
complaints,status,object,8000,0,0.0,4,0.05
complaints,source,object,8000,0,0.0,5,0.06
complaints,resolution_at,object,8000,0,0.0,7998,99.98
daily_targeting,target_id,object,45000,0,0.0,45000,100.0
daily_targeting,account_id,object,45000,0,0.0,23344,51.88
daily_targeting,campaign_id,object,45000,0,0.0,120,0.27
daily_targeting,target_date,object,45000,0,0.0,220,0.49
daily_targeting,priority,int64,45000,0,0.0,10,0.02
daily_targeting,recommended_channel,object,45000,0,0.0,4,0.01
daily_targeting,status,object,45000,0,0.0,4,0.01
data_dictionary,dataset,object,143,0,0.0,17,11.89
data_dictionary,column,object,143,0,0.0,80,55.94
data_dictionary,dtype,object,143,0,0.0,4,2.8
field_visits,visit_id,object,25000,0,0.0,25000,100.0
field_visits,account_id,object,25000,0,0.0,16908,67.63
field_visits,borrower_id,object,25000,0,0.0,10537,42.15
field_visits,event_at,object,25000,0,0.0,24973,99.89
field_visits,agent_id,object,25000,0,0.0,1000,4.0
field_visits,visit_type,object,25000,0,0.0,4,0.02
field_visits,outcome,object,25000,0,0.0,6,0.02
field_visits,latitude,float64,25000,0,0.0,25000,100.0
field_visits,longitude,float64,25000,0,0.0,25000,100.0
field_visits,scheduled_at,object,25000,250,1.0,24731,98.92
payments,payment_id,object,25500,0,0.0,25000,98.04
payments,account_id,object,25500,0,0.0,16934,66.41
payments,borrower_id,object,25500,0,0.0,10474,41.07
payments,event_at,object,25500,0,0.0,24984,97.98
payments,payment_reference,object,25500,382,1.5,20822,81.65
payments,amount,float64,25500,0,0.0,24979,97.96
payments,payment_status,object,25500,0,0.0,4,0.02
payments,payment_method,object,25500,0,0.0,5,0.02
payments,provider_id,object,25500,0,0.0,15,0.06
promises_to_pay,ptp_id,object,18000,0,0.0,18000,100.0
promises_to_pay,account_id,object,18000,0,0.0,13532,75.18
promises_to_pay,borrower_id,object,18000,0,0.0,9299,51.66
promises_to_pay,event_at,object,18000,0,0.0,17990,99.94
promises_to_pay,agent_id,object,18000,0,0.0,1000,5.56
promises_to_pay,promised_amount,float64,18000,0,0.0,17983,99.91
promises_to_pay,promised_date,object,18000,0,0.0,17992,99.96
promises_to_pay,status,object,18000,0,0.0,4,0.02
promises_to_pay,source,object,18000,0,0.0,4,0.02
sms_events,sms_event_id,object,45000,0,0.0,45000,100.0
sms_events,account_id,object,45000,0,0.0,23207,51.57
sms_events,borrower_id,object,45000,0,0.0,11728,26.06
sms_events,event_at,object,45000,0,0.0,44949,99.89
sms_events,message_id,object,45000,0,0.0,27001,60.0
sms_events,event_type,object,45000,0,0.0,4,0.01
sms_events,template_code,object,45000,0,0.0,4,0.01
sms_events,provider_id,object,45000,0,0.0,15,0.03
vendor_telephony,vendor_id,object,15,0,0.0,15,100.0
vendor_telephony,vendor_name,object,15,0,0.0,5,33.33
vendor_telephony,vendor_account_id,object,15,0,0.0,15,100.0
vendor_telephony,timezone,object,15,0,0.0,2,13.33
vendor_telephony,status,object,15,0,0.0,2,13.33
vendor_telephony,schema_version,object,15,0,0.0,3,20.0
whatsapp_events,whatsapp_event_id,object,60600,0,0.0,60000,99.01
whatsapp_events,account_id,object,60600,0,0.0,25924,42.78
whatsapp_events,borrower_id,object,60600,0,0.0,11917,19.67
whatsapp_events,event_at,object,60600,0,0.0,59892,98.83
whatsapp_events,message_id,object,60600,0,0.0,34831,57.48
whatsapp_events,event_type,object,60600,0,0.0,6,0.01
whatsapp_events,template_code,object,60600,0,0.0,5,0.01
whatsapp_events,provider_id,object,60600,0,0.0,15,0.02
